title,description,completed,due_date,created_at,created_by
Task A,This is the description for Task A,False,2023-09-10T00:00:00+00:00,2023-08-06T12:00:00+00:00,UserX
Task B,This is the description for Task B,True,2023-08-20T00:00:00+00:00,2023-08-06T13:00:00+00:00,UserY
Task C,This is the description for Task C,False,2023-09-05T00:00:00+00:00,2023-08-06T14:00:00+00:00,UserZ
Task D,This is the description for Task D,True,2023-08-25T00:00:00+00:00,2023-08-06T15:00:00+00:00,UserA
Task E,This is the description for Task E,False,2023-09-01T00:00:00+00:00,2023-08-06T16:00:00+00:00,UserB
Task F,This is the description for Task F,True,2023-08-15T00:00:00+00:00,2023-08-06T17:00:00+00:00,UserC
Task G,This is the description for Task G,False,2023-09-03T00:00:00+00:00,2023-08-06T18:00:00+00:00,UserD
Task H,This is the description for Task H,True,2023-08-22T00:00:00+00:00,2023-08-06T19:00:00+00:00,UserE
Task I,This is the description for Task I,False,2023-09-07T00:00:00+00:00,2023-08-06T20:00:00+00:00,UserF
Task J,This is the description for Task J,True,2023-08-18T00:00:00+00:00,2023-08-06T21:00:00+00:00,UserG
